level,question,all_answers,dummy_pool,sentence,translation,exam_info
Fundamental (1-600),enable,～を可能にする,"～を妨げる, ～を止める, ～を壊す",Tools enable us to work.,道具は私たちが働くことを可能にする。,共通テスト
Fundamental (1-600),intend,～するつもりだ,"～を諦める, ～を忘れる, ～を後悔する",I intend to stay here.,私はここに滞在するつもりだ。,共通テスト
Fundamental (1-600),obtain,～を手に入れる,"～を失う, ～を捨てる, ～を避ける",obtain information.,情報を手に入れる。,共通テスト
Fundamental (1-600),divide,～を分ける,"～を合わせる, ～を壊す, ～を隠す",divide the cake.,ケーキを分ける。,共通テスト
Fundamental (1-600),annoy,～をいらだたせる,"～を喜ばせる, ～を静める, ～を助ける",The noise annoys me.,その騒音が私をいらだたせる。,共通テスト
Fundamental (1-600),differ,異なる,"似ている, 従う, 議論する",Customs differ from country to country.,習慣は国によって異なる。,共通テスト
Fundamental (1-600),educate,～を教育する,"～を雇う, ～を無視する, ～を罰する",educate children at home.,家庭で子供たちを教育する。,共通テスト
Fundamental (1-600),borrow,～を借りる,"～を貸す, ～を盗む, ～を買う",May I borrow your pen?,ペンを借りてもいいですか？,共通テスト
Fundamental (1-600),invent,～を発明する,"～を発見する, ～を壊す, ～を真似る",Who invented the telephone?,誰が電話を発明したのですか？,共通テスト
Fundamental (1-600),promote,～を促進する、昇進させる,"～を妨げる, ～を降格させる, ～を無視する",promote world peace.,世界平和を促進する。,立教大
Fundamental (1-600),advise,～に忠告する、アドバイスする,"～を非難する, ～を命令する, ～を褒める",He advised me to rest.,彼は私に休むよう忠告した。,共通テスト
Fundamental (1-600),retire,辞める、引退する,"雇われる, 昇進する, 続ける",He retired from politics.,彼は政界を引退した（辞めた）。,共通テスト
Fundamental (1-600),permit,～を許す、許可する,"～を禁止する, ～を罰する, ～を疑う",We cannot permit smoking here.,ここでの喫煙は許可できません。,共通テスト
Fundamental (1-600),recommend,～を勧める,"～を批判する, ～を拒否する, ～を隠す",I recommend this book.,この本をお勧めします。,共通テスト
Fundamental (1-600),apologize,謝る,"許す, 褒める, 不平を言う",You should apologize to her.,彼女に謝るべきだ。,共通テスト
Fundamental (1-600),inform,～に知らせる,"～を隠す, ～を騙す, ～を忘れる",inform him of the news.,彼にそのニュースを知らせる。,共通テスト
Fundamental (1-600),oppose,～に反対する,"～に賛成する, ～を提案する, ～を無視する",Many people oppose the plan.,多くの人がその計画に反対している。,共通テスト
Fundamental (1-600),trust,～を信用する,"～を疑う, ～を裏切る, ～を恐れる",You can trust him.,彼は信用できる。,共通テスト
Fundamental (1-600),select,～を選ぶ,"～を捨てる, ～を無視する, ～を混ぜる",select the best candidate.,最良の候補者を選ぶ。,共通テスト
Fundamental (1-600),praise,～をほめる,"～を叱る, ～を非難する, ～を無視する",The teacher praised her.,先生は彼女をほめた。,共通テスト
Fundamental (1-600),handle,～に対処する、～を扱う,"～を避ける, ～を壊す, ～を無視する",How to handle stress.,ストレスへの対処法。,共通テスト
Fundamental (1-600),propose,～を提案する,"～を拒否する, ～を隠す, ～を期待する",propose a new plan.,新しい計画を提案する。,青山学院大
Fundamental (1-600),breathe,呼吸する、～を吸う,"止める, 飲み込む, 吐き出す",It's hard to breathe here.,ここは息苦しい（呼吸しにくい）。,共通テスト
Fundamental (1-600),criticize,～を非難する、批評する,"～を褒める, ～を許す, ～を助ける",Don't criticize others.,他人を非難してはいけない。,共通テスト
Fundamental (1-600),overcome,～に打ち勝つ、～を克服する,"～に屈する, ～を避ける, ～を忘れる",overcome many difficulties.,多くの困難を克服する。,共通テスト
Fundamental (1-600),possess,～を持っている,"～を欠いている, ～を捨てる, ～を借りる",He possesses great talent.,彼は素晴らしい才能を持っている。,慶應義塾大
Fundamental (1-600),predict,～を予言する、予測する,"～を回想する, ～を無視する, ～を疑う",predict the future.,未来を予言する。,共通テスト
Fundamental (1-600),publish,～を出版する、発表する,"～を隠す, ～を検閲する, ～を読む",publish a magazine.,雑誌を出版する。,共通テスト
Fundamental (1-600),float,浮かぶ、～を浮かべる,"沈む, 飛ぶ, 走る",Wood floats on water.,木は水に浮かぶ。,共通テスト
Fundamental (1-600),recall,～を思い出す、呼び戻す,"～を忘れる, ～を無視する, ～を予言する",I can't recall his name.,彼の名前が思い出せない。,共通テスト
Fundamental (1-600),explore,～を探検する、調査する,"～を守る, ～を隠す, ～を壊す",explore the cave.,洞窟を探検する。,共通テスト
Fundamental (1-600),pretend,ふりをする,"隠す, 認める, 証明する",pretend to be asleep.,眠っているふりをする。,法政大
Fundamental (1-600),absorb,～を吸収する,"～を放出する, ～を反射する, ～を弾く",Plants absorb water.,植物は水を吸収する。,共通テスト
Fundamental (1-600),resemble,～に似ている,"～と異なる, ～を追い越す, ～を無視する",He resembles his father.,彼は父親に似ている。,共通テスト
Fundamental (1-600),tear,～を引き裂く,"～を縫う, ～を洗う, ～を隠す",tear the letter into pieces.,手紙を粉々に引き裂く。,共通テスト
Fundamental (1-600),consume,～を消費する,"～を生産する, ～を蓄える, ～を節約する",consume a lot of energy.,大量のエネルギーを消費する。,共通テスト
Fundamental (1-600),compete,競争する,"協力する, 諦める, 避ける",compete with each other.,お互いに競争する。,共通テスト
Fundamental (1-600),quit,～をやめる,"～を始める, ～を続ける, ～を雇う",quit smoking.,禁煙する（タバコをやめる）。,共通テスト
Fundamental (1-600),announce,～を発表する,"～を隠す, ～を忘れる, ～を囁く",announce the winner.,勝者を発表する。,共通テスト
Fundamental (1-600),react,反応する,"無視する, 停止する, 逃げる",react to the medicine.,薬に反応する。,共通テスト
Fundamental (1-600),wander,歩き回る、さまよう,"立ち止まる, 走る, 急ぐ",wander through the forest.,森の中を歩き回る。,共通テスト
Fundamental (1-600),text,メールを送る,"電話をかける, 手紙を書く, 無視する",She texted me later.,彼女は後でメールをくれた。,共通テスト
Fundamental (1-600),generate,～を生み出す、発生させる,"～を破壊する, ～を止める, ～を隠す",generate electricity.,電気を生み出す（発電する）。,共通テスト
Fundamental (1-600),score,～（点数）を取る,"～を失う, ～を外す, ～を守る",score a goal.,ゴールを決める（点取る）。,共通テスト
Fundamental (1-600),government,政府,"市場, 家族, 企業",The Japanese government.,日本政府。,共通テスト
Fundamental (1-600),knowledge,知識,"無知, 想像, 秘密",A thirst for knowledge.,知識への渇望。,共通テスト
Fundamental (1-600),nation,国、国家、国民,"都市, 家族, 組織",The entire nation.,国民全体。,共通テスト
Fundamental (1-600),effort,努力,"怠慢, 運, 結果",Make an effort to win.,勝つために努力する。,共通テスト
Fundamental (1-600),period,時代、期間,"瞬間, 未来, 永遠",A period of economic growth.,経済成長の期間（時代）。,共通テスト
Fundamental (1-600),population,人口,"面積, 収入, 出生率",A rapid increase in population.,急激な人口増加。,共通テスト
Fundamental (1-600),purpose,目的,"偶然, 理由, 結果",What is your purpose?,あなたの目的は何ですか？,共通テスト
Fundamental (1-600),behavior,行動、振る舞い,"思想, 外見, 計画",Human behavior.,人間の行動。,共通テスト
Fundamental (1-600),lack,不足,"過剰, 豊富, 満足",A lack of sleep.,睡眠不足。,共通テスト
Fundamental (1-600),skill,技術、技能,"才能, 道具, 知識",A highly valued skill.,高く評価される技術。,共通テスト
Fundamental (1-600),quality,質、品質,"量, 価格, 外見",The quality of education.,教育の質。,共通テスト
Fundamental (1-600),environment,環境,"遺伝, 都会, 室内",Protect the natural environment.,自然環境を守る。,共通テスト
Fundamental (1-600),role,役割,"主役, 責任, 職業",Play an important role.,重要な役割を果たす。,共通テスト
Fundamental (1-600),attitude,態度,"意見, 感情, 性格",A positive attitude.,前向きな態度。,共通テスト
Fundamental (1-600),author,筆者、著者,"読者, 編集者, 登場人物",Who is the author of this book?,この本の著者は誰ですか？,共通テスト
Fundamental (1-600),research,研究、調査,"実践, 遊び, 噂",Scientific research.,科学的研究。,共通テスト
Fundamental (1-600),opportunity,機会,"危機, 過去, 偶然",A great opportunity.,絶好の機会。,共通テスト
Fundamental (1-600),source,源、情報源,"終わり, 目的地, 秘密",A source of energy.,エネルギー源。,共通テスト
Fundamental (1-600),carbon,炭素,"酸素, 水素, 窒素",carbon dioxide.,二酸化炭素。,共通テスト
Fundamental (1-600),shape,形,"重さ, 色, 素材",The shape of the moon.,月の形。,共通テスト
Fundamental (1-600),advantage,利点,"欠点, 損害, 費用",Take advantage of this chance.,このチャンスを利用（利点を享受）する。,共通テスト
Fundamental (1-600),method,方法,"理論, 結果, 道具",A new method of teaching.,新しい教授法（方法）。,共通テスト
Fundamental (1-600),habit,習慣、癖,"伝統, 法律, 流行",A bad habit.,悪い癖（習慣）。,共通テスト
Fundamental (1-600),detail,細部、詳細,"全体, 概要, 秘密",Tell me the details.,詳細を教えてください。,共通テスト
Fundamental (1-600),distance,距離,"速度, 時間, 面積",A long distance.,長い距離。,共通テスト
Fundamental (1-600),crowd,群衆、人混み,"孤独, 静寂, 少数",A large crowd.,大勢の群衆。,共通テスト
Fundamental (1-600),instance,例、場合,"理由, 偶然, 終わり","For instance, consider this.",例えば（例として）、これを考えてみて。,共通テスト
Fundamental (1-600),desire,願望、欲求,"嫌悪, 満足, 無関心",A strong desire for success.,成功への強い願望。,同志社大
Fundamental (1-600),standard,水準、基準、標準,"限界, 例外, 流行",The standard of living.,生活水準。,早稲田大
Fundamental (1-600),task,仕事、任務,"遊び, 休憩, 趣味",A difficult task.,難しい仕事。,共通テスト
Fundamental (1-600),generation,世代,"過去, 未来, 家族",The younger generation.,若い世代。,共通テスト
Fundamental (1-600),responsibility,責任,"権利, 自由, 逃避",Take responsibility for it.,それに対して責任を取る。,共通テスト
Fundamental (1-600),experiment,実験,"理論, 事実, 遊び",Scientific experiments.,科学的実験。,共通テスト
Fundamental (1-600),athlete,運動選手,"審判, 観客, コーチ",A professional athlete.,プロの運動選手。,共通テスト
Fundamental (1-600),decade,10年,"1年, 100年, 1世紀",For more than a decade.,10年以上もの間。,共通テスト
Fundamental (1-600),loss,損失,"利益, 獲得, 成功",A heavy loss.,大きな損失。,共通テスト
Fundamental (1-600),fever,熱,"寒気, 痛み, 咳",I have a high fever.,高熱がある。,共通テスト
Fundamental (1-600),theory,理論,"実践, 想像, 噂","In theory, it is possible.",理論上、それは可能だ。,明治大
Fundamental (1-600),statement,記述、声明,"沈黙, 質問, 秘密",Make an official statement.,公式声明（記述）を出す。,共通テスト
Fundamental (1-600),professor,教授,"学生, 助手, 校長",A college professor.,大学教授。,共通テスト
Fundamental (1-600),function,機能,"故障, 外見, 名前",The function of the brain.,脳の機能。,共通テスト
Fundamental (1-600),surface,表面,"内部, 底, 中心",The surface of the earth.,地球の表面。,共通テスト
Fundamental (1-600),envelope,封筒,"切手, 便箋, 箱",Put a letter in an envelope.,手紙を封筒に入れる。,共通テスト
Fundamental (1-600),organization,組織、団体,"個人, 解散, 混乱",An international organization.,国際組織。,共通テスト
Fundamental (1-600),policy,政策、方針,"偶然, 伝統, 噂",Foreign policy.,外交政策。,共通テスト
Fundamental (1-600),resource,資源、財源,"廃棄物, 限界, 負債",Natural resources.,天然資源。,共通テスト
Fundamental (1-600),contrast,対比,"同一, 類似, 混同",In contrast to him.,彼との対比（対照）において。,共通テスト
Fundamental (1-600),flood,洪水,"干ばつ, 嵐, 地震",The village was hit by a flood.,村は洪水に見舞われた。,共通テスト
Fundamental (1-600),mate,連れ合い、仲間,"敵, 他人, 主人",My soul mate.,私のソウルメイト（魂の伴侶）。,共通テスト
Fundamental (1-600),goods,商品,"サービス, 原料, 廃棄物",Exported goods.,輸出商品。,共通テスト
Fundamental (1-600),creature,動物、生き物,"植物, 鉱物, 幽霊",Sea creatures.,海の生き物（動物）。,共通テスト
Fundamental (1-600),structure,構造、建築物,"破壊, 材料, 表面",The structure of the DNA.,DNAの構造。,共通テスト
Fundamental (1-600),tradition,伝統,"流行, 法律, 偶然",Follow the family tradition.,家族の伝統に従う。,共通テスト
Fundamental (1-600),weight,体重、重さ,"身長, 速度, 面積",Lose weight.,体重を減らす。,共通テスト
Fundamental (1-600),charity,慈善,"営利, 利己心, 贅沢",A charity concert.,慈善コンサート。,共通テスト
Fundamental (1-600),citizen,市民,"役人, 観光客, 犯罪者",Rights of every citizen.,全ての市民の権利。,共通テスト
Fundamental (1-600),impression,印象,"事実, 誤解, 記憶",First impression is important.,第一印象は重要だ。,共通テスト
Fundamental (1-600),cartoon,マンガ、風刺画,"小説, ニュース, 写真",He likes Japanese cartoons.,彼は日本のマンガが好きだ。,共通テスト
Fundamental (1-600),career,経歴、職業,"趣味, 休憩, 学歴",A long career in teaching.,教職での長い経歴。,共通テスト
Fundamental (1-600),site,用地、場所,"建物, 地図, 噂",The construction site.,建設用地（現場）。,共通テスト
Fundamental (1-600),passenger,乗客,"運転手, 歩行者, 乗組員",A plane with 200 passengers.,200人の乗客を乗せた飛行機。,共通
Fundamental (1-600),violence,暴力,"平和, 慈しみ, 忍耐",Non-violence movement.,非暴力運動。,共通テスト
Fundamental (1-600),income,所得、収入,"支出, 貯金, 税金",A high annual income.,高い年収（年間所得）。,共通テスト
Fundamental (1-600),temperature,気温、温度、体温,"湿度, 気圧, 天候",The temperature is rising.,気温が上がっている。,共通テスト
Fundamental (1-600),majority,大多数、過半数,"少数派, 全員, 欠席者",The majority of students.,大多数の学生。,共通テスト
Fundamental (1-600),origin,起源、生まれ,"結末, 目的地, 未来",The origin of the universe.,宇宙の起源。,共通テスト
Fundamental (1-600),literature,文学,"科学, 芸術, 歴史",English literature.,英文学。,共通テスト
Fundamental (1-600),equipment,設備、用具,"消耗品, 原料, 建物",Medical equipment.,医療設備（器具）。,共通テスト
Fundamental (1-600),stranger,見知らぬ人,"友人, 隣人, 親戚",Don't talk to strangers.,知らない人（見知らぬ人）に話しかけてはいけない。,共通テスト
Fundamental (1-600),strength,強さ、力、長所,"弱さ, 欠点, 短気",Mental strength.,精神的な強さ。,共通テスト
Fundamental (1-600),planet,惑星,"恒星, 衛星, 彗星",The third planet from the sun.,太陽から3番目の惑星。,共通テスト
Fundamental (1-600),fiction,小説、作り話,"事実, 自叙伝, 歴史",Science fiction.,空想科学小説（SF）。,共通テスト
Fundamental (1-600),religion,宗教,"科学, 哲学, 道徳",Freedom of religion.,宗教の自由。,共通テスト
Fundamental (1-600),pollution,汚染,"浄化, 衛生, 自然",Air pollution.,大気汚染。,共通テスト
Fundamental (1-600),wealth,富、財産,"貧困, 借金, 損失",He gained great wealth.,彼は莫大な富を築いた。,共通テスト
Fundamental (1-600),document,文書、書類,"写真, 噂, 秘密",Legal documents.,法的文書（書類）。,共通テスト
Fundamental (1-600),profit,もうけ、利益,"損失, 費用, 負債",Make a huge profit.,巨額の利益（もうけ）を出す。,共通テスト
Fundamental (1-600),technique,技術、手法,"才能, 道具, 原理",A new cooking technique.,新しい料理技術（手法）。,共通テスト
Fundamental (1-600),emotion,感情,"理性, 知識, 沈黙",Express one's emotions.,感情を表現する。,共通テスト
Fundamental (1-600),phenomenon,現象,"本質, 幻想, 規則",A natural phenomenon.,自然現象。,慶應義塾大
Fundamental (1-600),horror,恐怖、ホラー,"歓喜, 安心, 勇敢",Look in horror.,恐怖に目を見開く。,共通テスト
Fundamental (1-600),ladder,はしご,"階段, 坂道, エレベーター",Climb up a ladder.,はしごを登る。,共通テスト
Fundamental (1-600),billion,十億,"百万, 一兆, 千",Seven billion people.,70億の人々。,共通テスト
Fundamental (1-600),status,地位、状態,"職業, 過去, 偽名",Social status.,社会的地位。,共通テスト
Fundamental (1-600),youth,若者、青春,"老人, 子供, 過去",In my youth.,私の若い頃（青春時代）に。,共通テスト
Fundamental (1-600),confidence,自信、信頼,"不安, 疑い, 恐怖",Have confidence in yourself.,自分に自信を持ちなさい。,共通テスト
Fundamental (1-600),edge,周辺、端、刃,"中心, 底, 表面",The edge of the table.,テーブルの端（周辺）。,共通テスト
Fundamental (1-600),household,家庭、世帯,"企業, 独身, 学校",household chores.,家事（家庭の雑用）。,共通テスト
Fundamental (1-600),scholar,学者,"弟子, 文盲, 職人",A Greek scholar.,ギリシャ学の学者。,共通テスト
Fundamental (1-600),survey,調査,"憶測, 放置, 秘密",A recent survey shows...,最近の調査によると…。,共通テスト
Fundamental (1-600),vocabulary,語彙,"文法, 発音, 綴り",Increase your vocabulary.,語彙を増やす。,共通テスト
Fundamental (1-600),enemy,敵,"味方, 友人, 家族",A common enemy.,共通の敵。,共通テスト
Fundamental (1-600),construction,建設,"破壊, 放置, 設計",Under construction.,建設中。,共通テスト
Fundamental (1-600),lecture,講義,"遊び, 実習, 試験",Attend a lecture.,講義に出席する。,共通テスト
Fundamental (1-600),instruction,指示、教育,"質問, 禁止, 無視",Follow the instructions.,指示に従う。,共通テスト
Fundamental (1-600),crisis,危機,"平和, 安定, 絶頂",An economic crisis.,経済危機。,共通テスト
Fundamental (1-600),instrument,器具、楽器,"玩具, 材料, 消耗品",A musical instrument.,楽器（器具）。,共通テスト
Fundamental (1-600),crop,作物、収穫高,"雑草, 土壌, 肥料",A good crop of rice.,米の豊作（良い収穫）。,共通テスト
Fundamental (1-600),weapon,兵器、武器,"防具, 盾, 道具",Nuclear weapons.,核兵器。,共通テスト
Fundamental (1-600),device,装置、工夫,"部品, 原料, 故障",A mobile device.,モバイル端末（装置）。,共通テスト
Fundamental (1-600),path,道、小道,"広場, 壁, 終点",A mountain path.,山道。,共通テスト
Fundamental (1-600),earthquake,地震,"洪水, 噴火, 嵐",A powerful earthquake.,強力な地震。,共通テスト
Fundamental (1-600),stream,小川、流れ,"海, 湖, 滝",A mountain stream.,山の小川。,共通テスト
Fundamental (1-600),notion,概念、考え,"事実, 偏見, 無知",A general notion.,一般的な概念（考え）。,早稲田大
Fundamental (1-600),yard,庭、ヤード（単位）,"室内, 道路, 屋上",Play in the yard.,庭で遊ぶ。,共通テスト
Fundamental (1-600),victim,犠牲者,"加害者, 傍観者, 英雄",A victim of the war.,戦争の犠牲者。,共通テスト
Fundamental (1-600),fuel,燃料,"排気, 灰, 水",Fossil fuels.,化石燃料。,共通テスト
Fundamental (1-600),ancestor,祖先,"子孫, 友人, 他人",Our common ancestor.,私たちの共通の祖先。,共通テスト
Fundamental (1-600),soil,土壌、土,"空, 海, 宇宙",Fertile soil.,肥沃な土壌。,共通テスト
Fundamental (1-600),debate,討論,"談笑, 独り言, 沈黙",A public debate.,公開討論。,共通テスト
Fundamental (1-600),crime,犯罪,"法律, 善行, 罰",Commit a crime.,犯罪を犯す。,共通テスト
Fundamental (1-600),colleague,同僚,"上司, 部下, 家族",Work with my colleagues.,同僚と働く。,共通テスト
Fundamental (1-600),shelf,棚,"床, 壁, 天井",Put books on the shelf.,本を棚に置く。,共通テスト
Fundamental (1-600),analysis,分析,"統合, 放置, 憶測",A careful analysis.,注意深い分析。,共通テスト
Fundamental (1-600),universe,宇宙,"地球, 原子, 室内",The origin of the universe.,宇宙の起源。,共通テスト
Fundamental (1-600),electricity,電気,"ガス, 水道, 薪",Generate electricity.,電気を生み出す（発電する）。,共通テスト
Fundamental (1-600),insect,昆虫,"哺乳類, 鳥類, 植物",A rare insect.,珍しい昆虫。,共通テスト
Fundamental (1-600),web,巣（クモの）、網,"穴, 枝, 罠",A spider's web.,クモの巣。,共通テスト
Fundamental (1-600),storm,嵐,"快晴, 凪, 霧",A severe storm.,激しい嵐。,共通テスト
Fundamental (1-600),plenty,十分な、たっぷり,"不足した, わずかな, 空っぽの",plenty of time.,たっぷりの（十分な）時間。,共通テスト
Fundamental (1-600),agriculture,農業,"工業, 商業, 漁業",Modern agriculture.,現代農業。,共通テスト
Fundamental (1-600),gene,遺伝子,"筋肉, 血液, 骨",Study human genes.,人間の遺伝子を研究する。,共通テスト
Fundamental (1-600),evidence,証拠,"噂, 推測, 否定",Scientific evidence.,科学的証拠。,共通テスト
Fundamental (1-600),consequence,結果,"原因, 過程, 始まり",As a consequence of it.,その結果として。,慶應義塾大
Fundamental (1-600),infant,幼児,"成人, 老人, 胎児",An infant's health.,幼児の健康。,共通テスト
Fundamental (1-600),leisure,暇、余暇,"仕事, 義務, 睡眠",leisure activities.,余暇（暇な時間）の活動。,共通テスト
Fundamental (1-600),cell,細胞、小部屋,"全体, 器官, 組織",Blood cells.,血球（血液の細胞）。,共通テスト
Fundamental (1-600),talent,才能,"努力, 欠点, 平凡",A musical talent.,音楽の才能。,共通テスト
Fundamental (1-600),advertising,広告,"隠蔽, 放送, 販売",advertising agency.,広告代理店。,共通テスト
Fundamental (1-600),extent,程度、範囲,"中心, 終わり, 始まり",To some extent.,ある程度まで。,共通テスト
Fundamental (1-600),garbage,ごみ,"資源, 宝物, 燃料",Collect garbage.,ごみを集める。,共通テスト
Fundamental (1-600),general,一般的な、全体的な,"特殊な, 個別の, 珍しい",A general rule.,一般的な規則。,共通テスト
Fundamental (1-600),various,さまざまな,"同一の, 唯一の, 限られた",various kinds of food.,さまざまな種類の食べ物。,共通テスト
Fundamental (1-600),similar,似ている,"異なっている, 同一の, 離れた",similar to each other.,お互いに似ている。,共通テスト
Fundamental (1-600),complete,完全な、完成した,"不完全な, 途中の, 壊れた",A complete set of tools.,工具の完全なセット。,共通テスト
Fundamental (1-600),sharp,急激な、鋭い,"緩やかな, 鈍い, 平らな",A sharp increase.,急激な増加。,共通テスト
Fundamental (1-600),expensive,高価な,"安価な, 手頃な, 無料の",An expensive watch.,高価な時計。,共通テスト
Fundamental (1-600),political,政治的な,"経済的な, 個人の, 宗教的な",political leader.,政治的リーダー。,共通テスト
Fundamental (1-600),aware,気づいている,"気づいていない, 忘れている, 無関心な",Be aware of the risk.,リスクに気づいている。,共通テスト
Fundamental (1-600),ancient,古代の,"現代の, 最新の, 未来の",ancient history.,古代史。,共通テスト
Fundamental (1-600),medical,医学の,"法律の, 政治の, 芸術の",medical treatment.,医学的治療。,共通テスト
Fundamental (1-600),essential,不可欠だ、本質的な,"不要な, 些細な, 外部の",essential to success.,成功に不可欠だ。,共通テスト
Fundamental (1-600),huge,巨大な,"とても小さな, 普通の, 狭い",A huge building.,巨大な建物。,共通テスト
Fundamental (1-600),terrible,ひどい、恐ろしい,"素晴らしい, 穏やかな, 些細な",A terrible accident.,ひどい事故。,共通テスト
Fundamental (1-600),practical,実用的な,"理論的な, 理想的な, 想像上の",practical experience.,実用的な経験。,共通テスト
Fundamental (1-600),entire,全、全体の,"部分的な, 外側の, わずかな",The entire day.,一日中（全日）。,共通テスト
Fundamental (1-600),favorite,いちばん好きな,"嫌いな, 普通の, 以前の",My favorite song.,私のいちばん好きな歌。,共通テスト
Fundamental (1-600),comfortable,快適な、心地よい,"不快な, 痛い, 狭い",A comfortable sofa.,快適なソファ。,共通テスト
Fundamental (1-600),minor,小さい、重要でない,"主要な, 巨大な, 深刻な",A minor mistake.,小さい（重要でない）間違い。,共通テスト
Fundamental (1-600),typical,典型的な,"珍しい, 現代的な, 例外的な",A typical example.,典型的な例。,共通テスト
Fundamental (1-600),ideal,理想的な,"現実的な, 最悪の, 共通の",The ideal place to live.,住むのに理想的な場所。,共通テスト
Fundamental (1-600),principal,主要な,"些細な, 補助的な, 終わりの",The principal reason.,主要な理由。,立教大
Fundamental (1-600),appropriate,適切な,"不適切な, 汚い, 珍しい",appropriate for children.,子供に適切な（ふさわしい）。,共通テスト
Fundamental (1-600),empty,からの、空の,"満杯の, 混雑した, 重い",An empty bottle.,からの（空の）ボトル。,共通テスト
Fundamental (1-600),rapid,急速な,"緩やかな, 停滞した, 過去の",rapid economic growth.,急速な経済成長。,共通テスト
Fundamental (1-600),mental,精神の,"肉体の, 物質的な, 視覚的な",mental health.,精神の（メンタル）健康。,共通テスト
Fundamental (1-600),excellent,すばらしい,"ひどい, 普通の, まあまあの",An excellent idea.,すばらしい考え。,共通テスト
Fundamental (1-600),convenient,都合がいい、便利な,"不便な, 遠い, 複雑な",A convenient time.,都合がいい時間。,共通テスト
Fundamental (1-600),potential,潜在的な、可能性がある,"顕在化した, 過去の, 不可能な",A potential risk.,潜在的なリスク。,共通テスト
Fundamental (1-600),financial,財政的な、金融の,"政治的な, 個人の, 芸術的な",financial crisis.,財政的な危機。,共通テスト
Fundamental (1-600),enormous,莫大な,"わずかな, 狭い, 低い",An enormous amount of money.,莫大な金額。,共通テスト
Fundamental (1-600),rare,珍しい、まれな,"普通の, 頻繁な, 安価な",A rare animal.,珍しい動物。,共通テスト
Fundamental (1-600),artificial,人工の、不自然な,"天然の, 誠実な, 本物の",artificial intelligence.,人工知能（AI）。,共通テスト
Fundamental (1-600),tiny,ちっちゃな、ごくわずかな,"巨大な, 重い, 広い",A tiny hole.,ちっちゃな穴。,共通テスト
Fundamental (1-600),considerable,かなりの、相当な,"わずかな, 無視できる, 以前の",A considerable amount.,かなりの量。,共通テスト
Fundamental (1-600),sensitive,敏感な,"鈍感な, 冷淡な, 強い",sensitive skin.,敏感な肌。,共通テスト
Fundamental (1-600),intellectual,知的な,"肉体的な, 感情的な, 愚かな",intellectual property.,知的財産。,共通テスト
Fundamental (1-600),thirsty,のどが渇く,"満腹だ, 疲れた, 眠い",I'm so thirsty.,とても（のどが）渇いた。,共通テスト
Fundamental (1-600),polite,礼儀正しい,"無礼な, 騒がしい, 怠惰な",A polite young man.,礼儀正しい若者。,共通テスト
Fundamental (1-600),accurate,正確な,"不正確な, 曖昧な, 偽の",An accurate clock.,正確な時計。,共通テスト
Fundamental (1-600),rude,失礼な、不作法な,"礼儀正しい, 親切な, 賢い",A rude remark.,失礼な発言。,共通テスト
Fundamental (1-600),sufficient,十分な,"不足している, 乏しい, 過剰な",sufficient evidence.,十分な証拠。,共通テスト
Fundamental (1-600),urban,都会の,"田舎の, 農業の, 商業の",urban areas.,都会の地域。,共通テスト
Fundamental (1-600),temporary,一時的な,"永久の, 過去の, 頻繁な",A temporary job.,一時的な仕事。,共通テスト
Fundamental (1-600),primitive,原始的な,"現代的な, 文明的な, 複雑な",primitive life.,原始的な生活。,共通テスト
Fundamental (1-600),permanent,永久の,"一時的な, 壊れやすい, 短い",permanent address.,永久の（本籍）住所。,共通テスト
Fundamental (1-600),elderly,高齢の,"若い, 幼児の, 元気な",Help elderly people.,高齢の人々を助ける。,共通テスト
Fundamental (1-600),severe,厳しい、深刻な,"寛大な, 穏やかな, 些細な",A severe winter.,厳しい冬。,共通テスト
Fundamental (1-600),brief,簡潔な、短い,"長い, 複雑な, 詳細な",A brief history.,簡潔な歴史。,共通テスト
Fundamental (1-600),mobile,流動的な、移動式の,"固定された, 壊れた, 重い",A mobile phone.,携帯（移動式）電話。,共通テスト
Fundamental (1-600),latest,最新の,"最古の, 以前の, 未来の",The latest news.,最新のニュース。,共通テスト
Fundamental (1-600),military,軍事的な,"平和的な, 民間の, 宗教的な",military service.,兵役（軍事的な務め）。,共通テスト
Fundamental (1-600),strict,厳しい、厳格な,"寛大な, 曖昧な, 優しい",A strict rule.,厳しい規則。,共通テスト
Fundamental (1-600),solid,固体の、堅実な,"液体の, 気体の, 柔らかい",Ice is solid water.,氷は固体の水だ。,共通テスト
Fundamental (1-600),stupid,ばかな,"賢い, 勤勉な, 慎重な",A stupid mistake.,ばかな間違い。,共通テスト
Fundamental (1-600),biological,生物学の,"化学の, 物理の, 人工の",biological clock.,体内時計（生物学的な時計）。,共通テスト
Fundamental (1-600),probably,おそらく,"絶対に, 決して～ない, まれに",probably true.,おそらく本当だ。,共通テスト
Fundamental (1-600),hardly,ほとんど～ない,"しばしば, 完全に, 非常に",I hardly know him.,彼のことはほとんど知らない。,共通テスト
Fundamental (1-600),immediately,すぐに、即座に,"後で, 徐々に, 時々",Leave immediately.,すぐに去る。,共通テスト
Fundamental (1-600),eventually,ついに、結局は,"最初は, 決して～ない, すぐに",eventually succeeded.,ついに（結局は）成功した。,共通テスト
Fundamental (1-600),frequently,しばしば、頻繁に,"まれに, 決して～ない, 以前は",Visit frequently.,頻繁に（しばしば）訪れる。,共通テスト
