question,option,answer,university,explanation,field
The chief of the student association is knowledgeable and (      ).,industrious/industrialized/industrial/industries,industrious,法政大,国士舘大（35番）の confident などと同様に、スペルが酷似した紛らわしい形容詞の識別問題。andの前の knowledgeable（知識が豊富な）と並列になり、人の性質を表す形容詞を選ぶ。industrious（勤勉な、熱心な）が正解（industrialは「産業の、工業の」）。,４択問題
"There was a (      ) range of main dishes on the menu, and it was hard to choose just one.",high/wide/deep/thick,wide,法政大,日本女子大の5番（impressive range）の類題。名詞の range（範囲）と結びついて「幅広い〜、豊富な〜」という重要表現を作る形容詞を選ぶ。〈a wide range of ~〉で「広範囲の〜、多種多様な〜」となり、文脈に完全に合致する。,４択問題
"Brian is really interested in (      ). Last week, he joined a campaign to plant new trees.",inclination/installation/congestion/conservation,conservation,法政大,後半の「新しい木を植えるキャンペーンに参加した」という文脈に最も合う名詞を選ぶ。〈environmental conservation〉などで有名な conservation（環境保護、保存）が正解（inclinationは「傾向、好み」、installationは「設置、導入」、congestionは「（交通などの）渋滞、混雑」）。,４択問題
The police are investigating millions of fake dollar bills in (      ) around the world.,revolution/circulation/intersection/sensation,circulation,法政大,「偽札（fake dollar bills）が世界中で（      ）している」という文脈に合う名詞を選ぶ。in circulation で「（通貨や本などが）流通して、出回って」という意味になるため、circulation（循環、流通）が正解（revolutionは「革命」、intersectionは「交差点」、sensationは「大評判、感覚」）。,４択問題
"A：Please (      ) me to take this book back to the library, Mom. 　B：Sure, Ben.",nominate/notice/realize/remind,remind,法政大,〈remind + 目的語（me）+ to不定詞〉で「目的語に〜することを思い出させる、気づかせる」という最頻出の重要語法。「お母さん、この本を図書館に返すのを忘れないように言ってね（思い出させてね）」となる（realizeやnoticeは後ろに直接to不定詞をこの形で伴うことはできない）。,４択問題
"A：Mary, I’m doing the laundry now. Can I put your new shirt in the dryer? 　B：No. It’s 100% cotton, so it’ll definitely (      ). Let me hang it out to dry.",shrink/evaporate/generate/lapse,shrink,法政大,駒澤大の36番（100% cotton shirt）の類題。「綿100%のシャツだから、乾燥機に入れると絶対に（      ）」という文脈から、動詞の shrink（縮む）が正解（evaporateは「蒸発する」、generateは「〜を生み出す」、lapseは「（時間が）経過する、失効する」）。,４択問題
"A：Why did Jean quit the company? 　B：I don’t know for sure. (      ), she found a better job elsewhere.",Ultimately/Presumably/Consequently/Intuitively,Presumably,法政大,教科書や長文読解でも差がつく副詞の識別問題。前半の「確実には知らないけれど（I don't know for sure）」という発言を受けて、「おそらく、たぶん〜だろう」と推測する文脈を作る Presumably が正解（Ultimatelyは「最終的に」、Consequentlyは「その結果として」、Intuitivelyは「直感的に」）。,４択問題
"A：Daniel, thank you so much for helping me move. How can I repay you? 　B：Oh, don’t be silly. I’m your friend. I don’t want anything (      ).",in return/for certain/with pleasure/by chance,in return,法政大,会話の定番表現を問う熟語問題。前文の「どうやってお返し（repay）したらいい？」という問いかけに対し、「お返しに（見返りに）何か欲しいわけじゃないよ」と答える文脈になるため、〈in return〉（お返しに、引き換えに）が正解。,４択問題
"A：Mary, does this bag (      ) well with my dress? 　B：Yes. They look very nice together.",see/suit/go/meet,go,法政大,日本女子大の9番（go with）の完全な類題。後ろにある前置詞の with と結びついて「（服やバッグなどが）〜と似合う、調和する」という意味を作る自動詞を選ぶ。〈go well with ~〉が正解（suit は他動詞なので does this bag suit my dress? のように with なしで直接目的語をとる）。,４択問題
A：It looks like the weather will be good for the barbecue on Saturday. 　B：Don’t (      ) on it. Remember the sudden storm we had last year!,hang on/see through/count on/touch on,count on,法政大,〈count on ~〉で「〜を当てにする、頼りにする、期待する」という重要熟語（＝depend on / rely on）。文脈は「土曜のバーベキューは天気が良さそうだね」「それを当てにするな（まだ分からないよ）。去年の突然の嵐を思い出しなよ！」となる。,４択問題
"you say you cannot believe she likes him, but there is (      ) for tastes.",a lot of difference/a variety/little compliance/no accounting,no accounting,明治大,英語のことわざ。〈There is no accounting for tastes.〉で「たで食う虫も好き好き、人の好みは説明できない（十人十色）」という意味を表す。accounting は「説明すること」の意。文脈は「彼女が彼のことを好きだなんて信じられないと言うけれど、好みの問題は人それぞれだからね」となる。,４択問題
"(      ) a couple of exams before, you must be familiar with this kind of question.",Being taken/Having taken/Take/Taken,Having taken,明治大,分詞構文の時制の問題。主節の動詞（must be）よりも【前の時点】において「すでに数回の試験を受けたので」という完了の意味を表すため、完了形の分詞構文である 〈Having + 過去分詞（taken）〉 が正解。,４択問題
It is worth (      ) that a good knowledge of English grammar is essential in college.,asserted/mentions/noting/remember,noting,明治大,国学院大や上智大でも登場した 〈be worth -ing〉（〜する価値がある）の発展形。〈It is worth noting that ~〉で「〜ということは注目に値する、覚えておく価値がある」という非常に重要な定型表現を形成する。,４択問題
I feel (      ) with this lady. I am going to ask her to spend the rest of her life with me.,at ease/at my home/doomed/wedded,at ease,明治大,文脈に合う適切な熟語を選ぶ問題。後半の「残りの人生を一緒に過ごしてほしいと頼むつもりだ（＝プロポーズする）」という文脈から、前半は「この女性と一緒にいると【心が落ち着く（安心する）】」となる。〈feel at ease〉（落ち着く、安心する）が正解。,４択問題
"Her behavior is (      ) of a child, though I think she is as old as my mother.",one/such/that/the same,that,明治大,名詞の繰り返しを避ける代名詞の識別。前に出てきた behavior（行動：不可算名詞）の繰り返しを避けるため、〈that of ~〉の形で受ける。behavior は単数・不可算扱いなので that が正解（複数名詞の繰り返しなら those になる）。,４択問題
We wish to show in this lecture (      ) this field of study has changed during the past twenty years.,from which/in what way/in which/on what way,in what way,明治大,関係副詞 how の書き換え表現。〈in what way ~〉で「どのようにして、どういう風に〜か（＝how）」という意味の塊（名詞節）を作り、show の目的語になっている。「この講義では、この研究分野が過去20年間でどのように変化してきたかを示したい」となる。,４択問題
I was supposed to be (      ) aware of the danger in handling that important document.,complete/little/slightly/well,well,明治大,形容詞 aware（気づいて、承知して）を修飾して「十分に承知している」という意味のイディオムを作る副詞を選ぶ。〈be well aware of ~〉で「〜を十分に承知している、よく分かっている」という定番の表現になるため well が正解（completeは形容詞なので不可）。,４択問題
Henry was so completely (      ) that he couldn’t keep on working.,given up/moved away/turned over/worn out,worn out,明治大,文脈に合う適切な群動詞（熟語）の受動態を選ぶ。〈be worn out〉で「（人が）疲れ果てている、くたくたである」という意味になり、後半の「仕事を続けることができなかった」という文脈に完全に合致する。,４択問題
"If Asako should get married, Nao (      ) the last daughter able to take care of their mother.",had been/was/would be/would have been,would be,明治大,国士舘大（34番）でも登場した「万一〜ならば」を表す仮定法未来 〈If + 主語 + should + 動詞の原形〉 の構文。主節（帰結節）の助動詞は、現在の事実の反対と同様に〈would [should / could / might] + 動詞の原形〉にするため、would be が正解。,４択問題
Do you remember (      ) Yoko when you visited Yokohama?,seeing/that you see/to have been/to see,seeing,明治大,動詞 remember の重要語法（未来志向と過去志向の識別）。後ろの節に when you visited Yokohama（横浜を訪れたとき：過去）とあるため、「（過去に）〜したことを覚えている」という意味にする必要がある。したがって、動名詞を目的語にした seeing が正解（to see だと「これから会うことを覚えている」になってしまい不可）。,４択問題
"It is one thing to acquire knowledge, but it is quite (      ) to apply it.",other/anything/another/others,another,青山学院大,"〈A is one thing, and [but] B is another.〉で「AとBとは全く別のものである」という超頻出の重要構文。quite（まったく）を伴って 〈B is quite another〉 の形になることも多い。文脈は「知識を身につけることと、それを応用することとは全く別物だ」となる。",４択問題
"I sometimes use sketches I did years ago, and they still can inspire and start a (      ) of thought.",blade/train/finger/flock,train,青山学院大,名詞の比喩的なコロケーション（結びつき）を問う高度な語彙問題。〈a train of thought [thoughts]〉で「一連の思考、思考の脈絡、思考の列車」という定番の決まり文句を作るため、train が正解（列車のように次々と連なるイメージ）。「昔描いたスケッチが、今でもひらめきを与え、思考を数珠つなぎにスタートさせてくれることがある」となる。,４択問題
Please read these sentences in the textbook aloud. Always (      ) a pause after five sentences.,lay/take/drop/lend,take,青山学院大,〈take a pause〉で「一息入れる、一休みする、ポーズを置く」というコロケーション。文脈は「教科書のこれらの文章を音読してください。5文読んだら必ず一度ポーズ（間）を置いてください」となる。,４択問題
I have (      ) on studying because I want to watch my favorite movie on TV.,difficulty concentrating/difficulty to concentrate/difficult concentrating/difficult to concentrate,difficulty concentrating,青山学院大,〈have difficulty (in) -ing〉で「〜するのが難しい、〜するのに苦労する」という最頻出の重要語法（inは通常省略される）。空所の後ろに前置詞の on（concentrate on ~：〜に集中する）が続いているため、動名詞の concentrating が残った形が正解。形容詞の difficult を用いた ① や ④ は不可。,４択問題
I’m sorry that I couldn’t follow the very last part of her speech. I (      ) more carefully.,would be listened/was listened/am to be listened/should have listened,should have listened,青山学院大,拓殖大の36番や日本大の17番の類題。前文が過去時制（couldn't follow）であるため、過去の事実に対する後悔を表す 〈should have + 過去分詞〉「〜すべきだったのに（実際はしなかった）」の形にする。「彼女のスピーチの最後の最後が聞き取れなくて残念だ。もっと注意深く聞くべきだったのに」となる。,４択問題
Don’t (      ) in to despair just because you didn’t get into the company that was at the top of your wash-list.,give/make/set/put,give,青山学院大,〈give in to ~〉で「〜に降伏する、屈する、負ける（＝yield to ~）」という最頻出の重要句動詞（熟語）。「志望度の一番高かった企業に入れなかったからといって、絶望に負けて（屈して）はいけない」となる。,４択問題
I’m (      ) to take as many as eight classes this semester. That means I have to quit one of my part-time jobs.,necessary/required/capable/accustomed,required,青山学院大,〈be required to do〉で「〜することを義務付けられている、〜する必要がある」という重要語法。主語が I（人）なので、人を主語にできない形容詞の necessary は不可。また、capable なら後ろは of -ing、accustomed なら to -ing になるため、消去法からも required（原形不定詞 to take に繋がる）が正解。,４択問題
"To improve your mood and (      ) stress, try to exercise regularly.",recur/cultivate/counteract/protect,counteract,青山学院大,文脈に合う適切な動詞を選ぶ語彙問題。前半の「気分を良くし（improve your mood）」と並列になり、後ろの名詞 stress（ストレス）を目的語にとれる動詞を探す。〈counteract stress〉で「ストレスを和らげる、ストレスに対抗する［相殺する］」となり、文脈に完全に合致する。,４択問題
"If you work hard, you can complete this task in, (      ), a month, I bet.",go/say/take/hope,say,青山学院大,挿入句として用いられる副詞・動詞の特殊語法。文中に挿入された say は「たとえば、いわば（＝for example / let's say）」という意味の副詞的な働きをする。「熱心に働けば、このタスクは、たとえば1ヶ月もあれば完了できるよ、きっとね」となる。,４択問題
"I have an appointment to see Bob on September 12th, (      ) I believe is his birthday.",which/when/in which/what,which,青山学院大,明治大の9番（連鎖関係代名詞）の応用編。I believe（〜と私は思っている）という挿入節を括り出すと、後ろに is his birthday（彼の誕生日だ：動詞）が続いている。つまり、空所には「主格」の働きをする関係詞が必要。先行詞は September 12th（日付・物）なので、主格の関係代名詞 which が正解（whenは関係副詞なので後ろに主語が欠落した不完全文を導けない）。,４択問題
"Sarah: Jim didn’t say a word to me at the party. / Fred : Don’t worry, Sarah. (      ). / Sarah: Do you mean he doesn’t like me? / Fred:  No, not at all. He is just shy and quiet naturally.",It’s up to him/I’m not to be blamed/That’s beyond the description/That’s the way he is,That’s the way he is,青山学院大,会話の定番表現を問う問題。Fred の最後の発言「彼は生まれつきシャイで静かなだけだよ」という説明と完全に一致する表現を選ぶ。〈That’s the way he is.〉で「それが彼のいつものありのままだ、彼はそういう人間だ」という意味になり、文脈に完全に合致する。,４択問題
Bob: Have you heard Jane was promoted to a branch manager? / Miki: Yes. (      ). / Bob: I agree with you. She has worked hard since she started this project. / Miki: Why don’t we have a party to celebrate the occasion next Friday?,I’m afraid I know her very well/I’m sure she deserves it/I guess her boss is sorry about Jane./I bet you can turn me down.,I’m sure she deserves it,青山学院大,会話の定番表現を問う問題。Bobの「彼女はこのプロジェクトを始めてからずっと一生懸命働いてきた」という同意の発言に繋がる形を選ぶ。〈deserve ~〉は「〜に値する、〜を受ける価値がある」という意味。〈I'm sure she deserves it.〉で「彼女なら当然［それに値する］と思うよ」となり、文脈に完全に合致する。,４択問題
"Kevin: It’s going to be a party. I saw a brochure on the river trip. Some of the rapids look pretty cool. / Mother: Well, you should be very careful. / Kevin:  Mom, I’m not a kid anymore. / Mother: I know. (      ).","So enjoy jumping off the cliff/Anyway, don’t forget to leave your life jacket here/Just reassure your worried mother/Well, don’t pay any attention to the river guide",Just reassure your worried mother,青山学院大,文脈から母親の心情を推測して適切なセリフを選ぶ会話問題。川下り（river trip）や急流（rapids）に行く息子に対して「とても気をつけなさい」と心配する母親に対し、息子が「もう子供じゃないよ」と返している。これを受けて母親が「分かっているわ。でも【心配しているお母さんをただ安心させてちょうだい】」と続けるのが最も自然。〈reassure ~〉は「〜を安心させる」。,４択問題
"If he (      ) his homework yesterday, he would not be so busy today.",has finished/had finished/were finished/should finish,had finished,獨協大,日本大の18番の類題となる「混合仮定法」。文末に today（今日：現在）があり帰結節が仮定法過去（would not be）になっているが、If節の中は yesterday（昨日：過去）の事実に反する仮定を表すため、仮定法過去完了の had finished にする。「もし彼が昨日宿題を終わらせていたら、今日はそんなに忙しくないだろうに」となる。,４択問題
It is necessary that teachers (      ) a student’s ability from multiple aspects.,evaluating/evaluated/to evaluate/evaluate,evaluate,獨協大,青山学院大の32番でも登場した necessary に関連する「仮定法現在」の語法。〈It is necessary that + 主語 + (should) + 動詞の原形〉の形にするルールがあるため、原形の evaluate が正解（三人称単数の s がつかない点に注意）。「教師は生徒の能力を多角的な面から評価することが必要だ」となる。,４択問題
"Yesterday, (      ) is usual with her, Helen got angry with some of her co-workers.",that/when/so/as,as,獨協大,主節の内容（ヘレンが同僚に怒ったこと）を先行詞とする、関係代名詞の働きをする as（疑似関係代名詞）。〈as is usual with ~〉で「〜にはいつものことだが」という、文頭や文中に挿入される超重要定型表現。「昨日、彼女にはいつものことだが、ヘレンは同僚の何人かに腹を立てた」となる。,４択問題
The noise of is so loud that I can hardly hear myself (      ).,speak/spoke/spoken/to speak,spoken,獨協大,〈hear + 目的語 + 過去分詞〉の重要語法。〈hear myself spoken (to)〉または〈hear myself/my voice heard〉などの表現の応用。騒音のせいで「自分の声が（他人に）聞かれる状態にできない」、つまり〈cannot hear oneself spoken〉で「（うるさくて）自分の言うことが聞こえない」という大定番の慣用表現を形成するため、過去分詞の spoken が正解。,４択問題
A new TV commercial will appear when the coffee product is (      ) next month.,departed/occupied/boasted/launched,launched,獨協大,「新商品（コーヒー製品）が来月（      ）される」という文脈に合う動詞を選ぶ。launch は「（新製品など）を発売する、売り出す、（ロケットなど）を打ち上げる」という意味があるため、受動態の is launched が正解（departは「出発する」、occupyは「〜を占める」、boastは「〜を誇る」）。,４択問題
Bill’s comment about the government was (      ) in today’s newspaper story.,obeyed/notified/consulted/quoted,quoted,獨協大,「ビルの政府に関するコメントが、今日の新聞記事に（      ）されていた」という文脈に合う動詞を選ぶ。〈quote ~〉で「〜を引用する」という意味になり、受動態の was quoted（引用されていた）が完全に合致する（obeyは「〜に従う」、notifyは「〜に通知する」、consultは「〜に相談する」）。,４択問題
It was very difficult to find (      ) in Paris during the international film festival.,recommendation/accommodation/administration/circulation,accommodation,獨協大,「国際映画祭の期間中、パリで（      ）を見つけるのは非常に困難だった」という文脈に合う名詞を選ぶ。accommodation は「宿泊施設、ホテル（の部屋）」という意味（通例不可算名詞）を持つため、文脈からこれが正解（recommendationは「推薦」、administrationは「行政、管理」、circulationは「流通、循環」）。,４択問題
John got a bad (      ) and has had a high fever for two days.,inflation/infection/inspection/intrusion,infection,獨協大,後半の「2日間高熱が出ている」という文脈に最も合う名詞を選ぶ。〈get an infection〉で「感染症にかかる、ウイルスに感染する」という意味になるため、infection が正解（inflationは「インフレ、通貨膨張」、inspectionは「検査、視察」、intrusionは「侵入、押し付け」）。,４択問題
The heavy rain in recent weeks has (      ) our efforts to paint the garage.,leaked/sensed/frustrated/modeled,frustrated,獨協大,「ここ数週間の大雨が、ガレージの塗装をしようという私たちの努力を（      ）」という文脈から、動詞を選ぶ。〈frustrate ~〉には「（計画や努力など）を挫折させる、台無しにする、無に帰する」という意味があるため、frustrated が正解（leakは「漏れる」、senseは「〜を感じ取る」）。,４択問題
Susan is studying at university to get the (      ) she needs to teach science at high school.,identification/qualification/purification/estimation,qualification,獨協大,後半の「高校で科学を教えるために必要な（      ）」という文脈から、名詞を選ぶ。qualification は「資格、免許、適性」という意味を持つため、教員免許などの「資格」を指す文脈に完全に合致する（identificationは「身元確認、ID」、purificationは「浄化」、estimationは「見積もり、評価」）。,４択問題
Steve’s speech about the importance of having a dream (      ) many members of the audience.,inspired/conspired/transferred/assumed,inspired,獨協大,「夢を持つことの大切さに関するスティーブのスピーチが、多くの聴衆を（      ）」という文脈に合う動詞を選ぶ。〈inspire ~〉で「〜に感銘を与える、〜を鼓舞する、刺激する」という意味になり、文脈に完全に合致する（conspireは「共謀する」、transferは「〜を移動させる」、assumeは「〜と仮定する、引き受ける」）。,４択問題
Austrians are proud of the rich musical (      ) of their capital city of Vienna.,sequence/oppression/heritage/occurrence,heritage,獨協大,「オーストリア人は、首都ウィーンの豊かな音楽的（      ）を誇りに思っている」という文脈に最も合う名詞を選ぶ。heritage は「（受け継がれた）遺産、伝統」という意味を持つため、musical heritage（音楽的遺産・伝統）が正解（sequenceは「連続、順序」、oppressionは「抑圧」、occurrenceは「出来事、発生」）。,４択問題
"A closer examination will (      ) that these two groups were related to each other over 2,000 years ago.",reveal/research/reserve/refer,reveal,獨協大,〈A reveal that節〉で「A（無生物主語）によって〜ということが明らかになる、判明する」という、論文や読解でも最頻出の重要語法。「より綿密な調査によって、これら2つのグループが2000年以上前にお互いに関連していたことが明らかになるだろう」となる（researchやreferは直接that節をこの形で伴うことはできない）。,４択問題
Today the company interviewed for (      ) for the new position.,substances/candidates/resources/objectives,candidates,獨協大,「今日、その会社は新しい職職のために（      ）の面接を行った」という文脈に合う名詞を選ぶ。candidate は「候補者、志願者」という意味なので、面接（interview）の対象として文脈上これが正解（substanceは「物質」、resourceは「資源」、objectiveは「目標」）。,４択問題
The information in the report (      ) that the population of the city will double in less than thirty years.,indicates/imitates/meditates/hesitates,indicates,獨協大,13番の reveal と同様に、無生物主語とともに使われて「（報告書の情報などが）〜ということを示す、指摘する」という意味を作る動詞を選ぶ。〈indicate that ~〉が文脈・語法ともに正解（imitateは「〜を真似る」、meditateは「瞑想する」、hesitateは「ためらう」）。,４択問題
"My cousin, Cindy, is two years junior (      ) me.",after/than/under/to,to,獨協大,"ラテン語由来の比較表現（ラテン系比較級）。junior や senior, superior, inferior などの形容詞は、比較の基準を表す際に than ではなく前置詞の to を用いる絶対ルールがある。〈A is junior to B〉で「AはBより年下だ」となり、文脈に適合する。",４択問題
I believe that one should try to be (      ) of others.,considerable/considering/considered/considerate,considerate,獨協大,法政大の6番（industrious）の類題となる、動詞 consider から派生した紛らわしい形容詞の識別問題。後ろの前置詞 of と結びついて「〜に対して思いやりがある、配慮ができる」という意味を作る形容詞を選ぶ。〈be considerate of ~〉が正解（considerableは「かなりの、相当な」という意味になり不可）。,４択問題
The party was excellent. We enjoyed (      ) very much.,us/with us/ourselves/by ourselves,ourselves,獨協大,動詞 enjoy の重要語法。enjoy は他動詞なので後ろに目的語が必要であり、主語が We で「私たちは（パーティーを）大いに楽しんだ」と言う場合は、再帰代名詞を用いて 〈enjoy oneself〉 の形にするルールがある。したがって ourselves が正解（by ourselvesだと「私たちだけで（孤立して）」という意味になり文脈に合わない）。,４択問題
The discovery of electricity gave (      ) to thousands of the machines we use today.,line/body/model/birth,birth,獨協大,「電気の発見が、今日私たちが使用している何千もの機械を（      ）」という文脈から、重要イディオムを完成させる。〈give birth to ~〉で「〜を生み出す、〜を誕生させる、〜を出産する」という意味の比喩的表現になるため、birth が正解。,４択問題
Please (      ) with each other to finish this project as soon as possible.,conduct/cooperate/contradict/counter,cooperate,獨協大,後ろにある前置詞の with と結びついて「お互いに協力する」という文脈を作る自動詞を選ぶ。〈cooperate with ~〉で「〜と協力する、協調する」という意味になるため、cooperate が正解（conductは「〜を行う」、contradictは「〜と矛盾する」、counterは「〜に対抗する」であり、これらはすべて他動詞なので with を直接伴わない）。,４択問題
It’s going to take a lot of organization and hard work to pull (      ) a surprise party that big.,off/down/in/after,off,獨協大,文脈に合う適切な句動詞（熟語）を作る前置詞・副詞を選ぶ。〈pull off ~〉は「（困難なこと・大規模なことなど）をやってのける、見事に成功させる」という意味の重要表現。「あんなに大きなサプライズパーティーをやってのけるには、多大な組織力とハードワークが必要になるだろう」となる。,４択問題
The young actor has great potential but (      ) about serious acting.,to learn has yet/has learn to yet/has yet to learn/to yet has learn,has yet to learn,獨協大,〈have yet to do〉で「まだ〜していない、これから〜しなければならない」という超重要な定型構文。リーディングにも必須の知識。語順を正確に並べ替えた has yet to learn が正解。「その若手俳優は素晴らしいポテンシャルを秘めているが、本格的な演技についてはまだ学ぶべきことがある（まだ学んでいない）」となる。,４択問題
Their teacher (      ) them to buy the book and read it.,said/insisted/advised/suggested,advised,東洋大,"文の構造（語法）から動詞を決定する問題。後ろに 〈目的語（them）+ to不定詞（to buy...）〉 という「S + V + O + to do」の型をとれる動詞を選ぶ。〈advise A to do〉で「Aに〜するように勧める［忠告する］」となり、文脈・語法ともに完全に合致する（said, insisted, suggested はこの形をとることができない）。",４択問題
(      ) is no telling how long this hot season will last.,It/This/There/Nobody,There,東洋大,明治大の1番（There is no accounting...）の類題。〈There is no -ing〉で「〜することはできない（＝It is impossible to do）」という大定番の重要慣用表現。〈There is no telling ~〉で「〜は分からない、言うことができない」となり、「この暑い季節がいつまで続くかは分からない」という文脈に適合する。,４択問題
Kim is very sociable. This is (      ) she is popular in her class.,so/why/what/as,why,東洋大,〈This is why + 結果の文〉で「こういうわけで〜だ、だから〜だ」という因果関係を表す重要表現。前文の「キムはとても社交的だ（原因）」を受けて、「【だから】彼女はクラスで人気がある（結果）」となるため、why が正解（This is because だと後ろに原因の文が来るので不可）。,４択問題
(      ) more important than health.,Another thing is not/Nothing is/The other is/Anything is not,Nothing is,東洋大,「否定語（Nothing）+ 比較級（more important）+ than ~」の形で、「〜ほど重要なものはない（＝健康が最も重要だ）」という、比較級を用いて最上級の意味を表す超重要構文。英語では Anything is not ~ や Another thing is not ~ のように、肯定の代名詞を not で否定して文頭に置く主語の形を嫌うルールがあるため、Nothing を用いた形が正解。,４択問題
Do you think I (      ) my elder sister?,resemble/resemble with/resemble for/am resembling,resemble,東洋大,動詞 resemble（〜に似ている）の語法。resemble は代表的な「他動詞」であるため、後ろに前置詞の with や for を挟まずに直接目的語（my elder sister）を置くルールがある。また、状態を表す動詞なので原則として進行形（am resembling）にはできない。したがって、原形の resemble が正解。,４択問題
"Sooner or later, they will (      ) that what I said at the meeting was true.",be convinced of/be convinced/convince/be convincing,be convinced,東洋大,専修大の39番（are convinced）の類題となる convince（確信させる）の語法。後ろに that節が直接続いているため、受動態の 〈be convinced that ~〉（〜ということを確信している、納得する）の形にする。of がついている ① は、後ろに名詞の塊が来るとき（be convinced of 名詞）の形なので that節の前には不要。,４択問題
"The publishing firm expected his new novel to be a great hit, but it was (      ) from being a success.",away/opposite/far/distant,far,東洋大,〈far from -ing [名詞]〉で「決して〜ではない、〜からはほど遠い（＝anything but / not ~ at all）」という重要慣用表現。「出版社は彼の新作小説が大ヒットすることを期待していたが、成功からはほど遠い結果だった（決して成功とは言えなかった）」となる。,４択問題
Between the two pine trees (      ) a cherry tree.,stand/stands/cry/cries,stands,駒澤大,場所を表す副詞句（Between the two pine trees：「2本の松の木の間に」）が文頭に出たため、〈副詞句 + 動詞（V）+ 主語（S）〉の語順になった倒置文。真の主語は空所の後ろにある a cherry tree（単数）なので、三人称単数現在形の stands が正解（複数形の stand に引っかからないよう注意）。,４択問題
(      ) seems a shame that they quarreled in the meeting without any self-control.,Anyone/He/It/There,It,駒澤大,形式主語の It を選ぶ問題。that以下の節（they quarreled...：「彼らが会議で自制心なく口論したこと」）が真主語であり、それを文頭の It で受けている。〈It seems a shame that ~〉で「〜ということは残念に思われる」という定番の構文を形成する。,４択問題
"John is 10cm shorter than Bill, (      ) 10cm shorter than Tom; therefore John is 20cm shorter than Tom.",who is/whose was/who cannot be/whose height,who is,駒澤大,関係代名詞の非限定用法（コンマ付き関係詞）。先行詞は直前の Bill であり、コンマの後ろで「そしてそのビルは（＝and he）」と説明を続けている。後ろに 10cm shorter（補語）が続いているため、主格の who と be動詞の is を組み合わせた who is が正解。,４択問題
I find Professor Jones (      ) her idea on education in this book.,being impressed/having been expressed/to be impressed/expressing,expressing,駒澤大,独協大の4番（hear myself spoken）や日本女子大の6番（help you digest）の類題となる、第5文型（S+V+O+C）の形。Vは find（〜だと気づく・知る）、Oは Professor Jones。ジョーンズ教授が「彼女の教育に関する考えを【表現している（能動・進行）】」のを見つける、という文脈なので、目的格補語（C）の位置には現在分詞の expressing が入る。,４択問題
(      ) my family settled in Sydney when my uncle's family visited us.,Hardly had/Not long having/After having/Having long had,Hardly had,駒澤大,日本大の15番（No sooner ~ than）の類題となる重要構文。〈Hardly + 過去完了（had + 主語 + 過去分詞）... + when [before] ~〉で「…するかしないかのうちに〜した、…するやいなや〜した」を表す。否定の副詞 Hardly が文頭に出ているため、後ろは〈had + 主語（my family）+ 過去分詞（settled）〉という倒置（疑問文の語順）になる。,４択問題
The manager of the hotel insisted that all valuables (      ) in the safe.,was kept/have been kept/shall be kept/be kept,be kept,専修大,東洋大（2番）の evaluate（仮定法現在）の類題。insist（〜と主張する・要求する）のように「提案・要求・主張」を表す動詞の後ろのthat節内では、〈主語 + (should) + 動詞の原形〉にするルールがある。貴重品（all valuables）は「保管される」という受動の関係になるため、should が省略されて動詞の原形から始まる be kept が正解。,４択問題
The next meeting could be held at my office or (      ).,yourself/your/yours/you,yours,専修大,代名詞の識別問題。文脈は「次の会議は、私のオフィス（my office）か、あるいは【あなたのオフィス（your office）】で開催することも可能です」となる。名詞の繰り返しを避けるため、〈所有格 + 名詞〉の働きを1語で表す所有代名詞の yours（＝your office）が正解。,４択問題
Your English writing leaves (      ) to be desired.,anything/anyone/nothing/no one,nothing,専修大,重要慣用表現の知識を問う問題。〈leave nothing to be desired〉で「遺憾な点がない、完璧である（直訳：望まれるものを何も残していない）」という意味の最頻出フレーズ。もし「遺憾な点が多い、改善の余地がある」にするなら leaves much to be desired となるが、選択肢に anything はあるが much はないため、nothing が正解。,４択問題
"If the weather (      ) so bad, we might have gone out.",is not/wouldn’t have been/hadnt been/will be,hadn't been,専修大,日本女子大（2番）や法政大（4番）でも登場した「仮定法過去完了」の王道問題。帰結節が might have gone（助動詞過去形 + have + 過去分詞）という過去の事実に反する形になっているため、If節の中も過去完了形にする必要がある。したがって、否定の hadn't been が正解。,４択問題
"(      ) difficult it may be, you have to master the operation of the new personal computer.",No matter however/No matter how/No how/No matter,No matter how,専修大,「どんなに〜だとしても」という譲歩を表す複合関係副詞の表現。〈however + 形容詞（difficult）+ 主語 + may be〉の塊は、〈no matter how + 形容詞...〉と言い換えることができるため、No matter how が正解（No matter however と重ねて使うことはできない）。,４択問題
Our new mayor is going to take the (      ) in promoting the wind power generation.,initial/initiation/initiated/initiative,initiative,専修大,「新しい市長は、風力発電の推進において（      ）をとるつもりだ」という文脈に合う名詞を選ぶ。〈take the initiative (in -ing)〉で「（〜において）主導権を握る、率先して行動する、イニシアチブをとる」という非常に重要な定番ビジネス表現になるため、名詞の initiative が正解。,４択問題
You are not allowed to enter the office (      ) the consent of the professor.,for/in/without/except,without,専修大,「教授の同意（the consent）(      )、オフィスに入ることは許可されていない」という文脈に最も合う前置詞を選ぶ。〈without ~〉で「〜なしで、〜がなければ」となり、文脈に完全に合致する。,４択問題
